L5 | 2024-07-24: Lesson 5

S1 | Grammer
1 | kakav | how (What is it like?)
2 | naći (nađem) | to find
3 | veza | connection
4 | tablica | table
5 | dopuniti (dopunim) | complete, supplement

S2 | Vocabulary
1 | boja | colour
2 | stvarno | really
3 | još | more, yet, still
4 | uvijek | always
5 | još uvijek | still
6 | jer | because (less formal, less emphasis on reason)
7 | zato što | because (more formal, more emphasis on reason)
8 | šef | boss
9 | izgled | look
10 | karakter, osobnost | personality

S3 | Adjectives
1 | ljubazan | kind
1-2 | neljubazan | unkind
2 | čudan | strange
2-2 | normalan | normal
3 | jak | strong
3-2 | slab | weak
4 | pametan | smart
4-2 | glup | stupid, dumb
5 | komunikativan | communicative
5-2 | nekomunikativan | not communicative
6 | marljiv | hard working
6-2 | lijen | lazy
7 | uredan | tidy, neat
7-2 | neuredan | messy
8 | otvoren | open
8-2 | zatvoren | closed
9 | ambiciozan | ambitious
9-2 | neambiciozan | not ambitious
10 | antipatičan | not likable
11 | savrsen | perfect
11-2 | idealan | ideal
11-3 | nesavrsen | imperfect
12 | buduć | future
13 | vjenčani | married (only plural, for both males and females)
14 | mršav | skinny
15 | odgovoran | responsible
15-2 | neodgovoran | irresponsible










