L13 | 2024-10-17: Recap of First Semester

S1 | Mixed
1 | ljekarnik (-ica) | pharmacist
2 | cvijet, cvijeće | flower
3 | lignje | squid
4 | dug | long
5 | hladnoća | the cold
6 | džez | jazz
7 | sportski | sporty
8 | tip | type
9 | skijanje | skiing
10 | plivanje | swimming
11 | džip | jeep
12 | obožavati (obožavam) | to adore
13 | životinja | animal
14 | džuboks | jukebox
15 | ljubav | love
16 | hobi, hobiji | hobby
17 | sunčati se | sun bathing
18 | umivati se | to wash your face
19 | čistač (+ica) | cleaner
20 | kruh | bread
21 | ručak | lunch
22 | jelo / obrok | meal
