L31 | 2025-03-13: Semester 2: Lesson 17

S1 | Prepositions
1 | desno od + gen. | right of
2 | lijevo od + gen. | left of
3 | od + gen. + do + gen. | from ... to ...
4 | kroz + gen. | through

S2 | Vocabulary
1 | Vani je sunčano. | It is sunny outside.
2 | Vani je kišovito. | It is rainy outside.
3 | Vani je oblačno. | It is cloudy outside.
4 | Vani je vjetrovito. | It is windy outside.
5 | može se vidjeti | it can be seen (passive sentence with transitive verb)
6 | može se izaći | one can go out (impersonal sentence with intransitive verb)
7 | izaći (izađem) | to go out (pf.)
8 | izlaziti (izlazim) | to go out, to exit/leave (imp.)
9 | zajednički | shared
10 | roštiljati (roštiljam) | to barbecue
11 | mekan, mekana, mekano | soft
12 | uživati (uživam) (u + loc.) | to enjoy
13 | ulazna vrata | front door
14 | hodnik | corridor, hallway
15 | soba za goste | guest room (lit.: room for guests)
16 | parkiran | parked
17 | lopta | ball
18 | luster | chandelier
