L60 | 2026-02-25: Semester 3: Lesson 16

S1 | Miscellaneous
1 | Šetam se u parku. | I am strolling around in a park.
2 | Vozim se oko parka. | I am driving around a park.
3 | neki, neka, neko | some, a certain (adjective)
4 | taj, ta, to | that (adjective)
5 | mladost (fem., i-deklinacija) | youth
6 | odbojka | volleyball
7 | rep | tail
8 | granica | state/national border
9 | zbog + gen. | because of, due to 
10 | joj | her (dat.)
11 | cilj | goal, aim
12 | kontrola | control
13 | deka | blanket
14 | gledatelj | spectator, viewer
15 | neka | some, let/may ...
16 | zanimanje | interest

S2 | Short-Form Prepositions
1 | za + ins. | behind (short form)
2 | pred + ins. | in front of (short form)
3 | nad + ins. | above (short form)
4 | pod + ins. | below, under (short form)
5 | među + ins. | between (short form)
