L63 | 2026-04-22: Semester 3: Recap

S1 | Miscellaneous
1 | predgrađe | suburb
2 | povijest | history
3 | najprije | firstly
4 | družiti (družim) se | to associate, socialise with (imp.)
5 | praktičan | practical
6 | radnik | worker
7 | brada | chin, beard
8 | brk | moustache
9 | sličiti (sličim) + dat. | to resemble (imp.)
10 | prigovarati (prigovaram) + dat. | to object, complain, nag
11 | smetati (smetam) + dat. | to bother (imp.)
12 | šala | joke
13 | diviti (divim) se + dat. | to admire
14 | znanstvenik | scientist
15 | čuditi (čudim) se + dat. | to be surprised, to marvel at
16 | približavati (približavam) se + dat. | to approach (imp.)
17 | zahvaljivati (zahvaljujem) + dat. | to thank (imp.)
